genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,top,top,női,póló,póló,2756890,https://www.fashiondays.hu/v/2756890/n%C5%91i-/ruh%C3%A1zat?productSlug=workout-ready-supremium-edz%C5%91p%C3%B3l%C3%B3-n%C5%91i-reebok&tagId=1,https://www.fashiondays.hu/p/workout-ready-supremium-edz%C5%91p%C3%B3l%C3%B3-n%C5%91i-reebok-p2756890-1/,Workout Ready Supremium edzőpóló,6699,19.43,Reebok,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_13784c230502128ddf60100fd42ab710.jpg?s=sCDlySleD_2V https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_c92a4d3547b7319b99799a8dda1cdd6e.jpg?s=vboois3wyP8A https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_f17fe04f9527985403cbcf0fcdd55dd8.jpg?s=0HE366tOR-Zq https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_c8b2ab1e5c86cc460f1c55523d1e7e50.jpg?s=QHGOu37mqN0S https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_474bffb171686956a94b24ba7420bce8.jpg?s=9MsmNAG4zzS- https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_93a9bdffdc780cb0374654a146cc8257.jpg?s=dPB6nPaFZVKK https://fdcdn.akamaized.net/m/780x1132/products/30427/30426947/images/res_e8b7a338465ca32865d58cea4e0061b6.jpg?s=a5X71OAKavBk,halvány rózsaszín,FP6815,Leírás Nem: női Sport: fitnesz Szín: halvány rózsaszín Minta: nincs Nyakkivágás: kerek Szabás: szűk Anyag: szintetikus szálak Technológia: SpeedWick Szezon: tavasz-nyár$ ősz-tél Részletek: izzadság elvezető kialakítás$ rugalmas anyag Összetétel Anyag: 91% poliészter$ 9% elasztán Termékszám FP6815
women,top,top,női,póló,póló,2768602,https://www.fashiondays.hu/v/2768602/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-p%C3%B3l%C3%B3-feliratos-mint%C3%A1val-n%C5%91i-vero-moda&tagId=1,https://www.fashiondays.hu/p/organikuspamut-p%C3%B3l%C3%B3-feliratos-mint%C3%A1val-n%C5%91i-vero-moda-p2768602-1/,Organikuspamut póló feliratos mintával,5199,15.08,Vero Moda,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30580/30579386/images/res_c70909b4c83b6d6cbb94b1bd37fedef8.jpg?s=z7ZcPeFkUOP9 https://fdcdn.akamaized.net/m/780x1132/products/30580/30579386/images/res_699d84c6828e8faa7972daaa995c6dcd.jpg?s=_aUyl-o8koqL https://fdcdn.akamaized.net/m/780x1132/products/30580/30579386/images/res_29e72448a69af48150192acb96017ee4.jpg?s=LB6Dzw4kf5Oe https://fdcdn.akamaized.net/m/780x1132/products/30580/30579386/images/res_1cb0816b14adc7b37c716274674ac8a4.jpg?s=djk5BB4KT06C https://fdcdn.akamaized.net/m/780x1132/products/30580/30579386/images/res_c64676c8d55e1d713bfc4cfa3ffd771f.jpg?s=qTJHt0RT1TmD,fehér,10230373-SNOW-WHITE-NO-BAD-DAYS,Leírás Szín: fehér Minta: feliratos Anyag: organikus pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% organikus pamut Termékszám 10230373-SNOW-WHITE-NO-BAD-DAYS
women,top,top,női,póló,póló,2766272,https://www.fashiondays.hu/v/2766272/n%C5%91i-/ruh%C3%A1zat?productSlug=eyeben-sz%C5%B1k-fazon%C3%BA-v-nyak%C3%BA-p%C3%B3l%C3%B3-n%C5%91i-g-star-raw&tagId=1,https://www.fashiondays.hu/p/eyeben-sz%C5%B1k-fazon%C3%BA-v-nyak%C3%BA-p%C3%B3l%C3%B3-n%C5%91i-g-star-raw-p2766272-1/,Eyeben szűk fazonú V-nyakú póló,5599,16.24,G-Star RAW,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_660aed87a6385e99933c3c4912ee261f.jpg?s=5wo2aO5DoeW5 https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_35a48057a64cd9e5cdb8eae36c9453dd.jpg?s=S50tTBimoXlT https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_260db3fd8ddb408c50874b4d6ec9d48e.jpg?s=H23LvmSq7DsP https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_9986d5b3367feade678a42e60fa09b17.jpg?s=Uxwty1_nFysj https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_29dbee0e045ae02ae1b60e57930ee894.jpg?s=h27fD1alUAPH https://fdcdn.akamaized.net/m/780x1132/products/30625/30624055/images/res_e64cca75219994d1e8ca57fce6e30b4c.jpg?s=e_1A0girmMQl,barackszín,D04434-2757-8285,Leírás Szín: barackszín$ koptatott fekete Minta: nincs Anyag: poliészter$ pamut Szabás: szűk Stílus: hétköznapi Nyakkivágás: V alakú Ujjak hossza: rövid Részletek: logós részlet a mellrészen Összetétel Anyag: 60% pamut$ 40% poliészter Termékszám D04434-2757-8285
women,top,top,női,póló,póló,2761840,https://www.fashiondays.hu/v/2761840/n%C5%91i-/ruh%C3%A1zat?productSlug=rebel-crop-p%C3%B3l%C3%B3-log%C3%B3val-n%C5%91i-puma&tagId=1,https://www.fashiondays.hu/p/rebel-crop-p%C3%B3l%C3%B3-log%C3%B3val-n%C5%91i-puma-p2761840-1/,Rebel crop póló logóval,6299,18.27,Puma,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_dc82453f75586423ed7955290c5afcc2.jpg?s=GgC-vIUcrEnp https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_5339a62d06118740dd4b76c833e297c6.jpg?s=OQaIkIS7ii-C https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_8f87f718b8a8587b53f7ad6ef4d3966d.jpg?s=gvMM-3P1W7WE https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_c87938a1d184f9077b7a988a039b0b27.jpg?s=rLHHiihqY7Yb https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_fbca092acdf74c3a6a47030fb970cf07.jpg?s=m0iriXECxCQ1 https://fdcdn.akamaized.net/m/780x1132/products/27996/27995563/images/res_2533aee1a4dcbddd3a158696df381fe3.jpg?s=av41cL0Gj6RY,fehér,581308-52,Leírás Szín: fehér$ fekete Minta: logós Anyag: pamut Szabás: bővülő Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: középhosszú Hossz: crop Összetétel Anyag: 100% pamut Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 581308-52
women,top,top,női,póló,póló,2761728,https://www.fashiondays.hu/v/2761728/n%C5%91i-/ruh%C3%A1zat?productSlug=drycell-fitnesztop-log%C3%B3s-mint%C3%A1val-n%C5%91i-puma&tagId=1,https://www.fashiondays.hu/p/drycell-fitnesztop-log%C3%B3s-mint%C3%A1val-n%C5%91i-puma-p2761728-1/,DryCell fitnesztop logós mintával,6299,18.27,Puma,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_0a9bd101e68ff4d31870003560439fbe.jpg?s=YIJIxRJQGTBU https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_a86548dd38d0477966240c6a8a203003.jpg?s=FHQL7yVPGSdh https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_bb39a1e6c1e99d56cddaadc57aaf352b.jpg?s=LvWlnXApG_k7 https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_e208f154688c44a74860eef808b72331.jpg?s=4hO4eRvxE_f6 https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_819f36157818ae06e33881ab89c9eae3.jpg?s=-Yqxt75k4xmH https://fdcdn.akamaized.net/m/780x1132/products/27996/27995544/images/res_b85b5762c0f4f873e64cd9f9ab1d9298.jpg?s=4QmIyBrFlmQx,fehér,518938-07,Leírás Sport: fitnesz Nem: női Színe: fehér$ rózsaszín$ sárga Anyag: szintetikus szálak$ pamut Anyagtechnológia: Dry Cell Minta: logós Nyakkivágás: kerek Fazon: normál Szezon: tavasz-nyár$ ősz-tél Összetétel Anyag: 65% poliészter$ 35% pamut Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 518938-07
women,top,top,női,póló,póló,2761182,https://www.fashiondays.hu/v/2761182/n%C5%91i-/ruh%C3%A1zat?productSlug=amsterdam-laza-fazon%C3%BA-p%C3%B3l%C3%B3-n%C5%91i-desigual&tagId=1,https://www.fashiondays.hu/p/amsterdam-laza-fazon%C3%BA-p%C3%B3l%C3%B3-n%C5%91i-desigual-p2761182-1/,Amsterdam laza fazonú póló,14499,42.05,DESIGUAL,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_7f627fb8d300fd100057171a8853d960.jpg?s=-W4HNrtL3PRH https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_1cc1c25188bf76bff26f594a69481ee8.jpg?s=yM5SwXINzOs3 https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_52a08dd6adc17588904a703b5b26a5eb.jpg?s=b5yjHxV5QZVR https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_cc29bc1ec7f2231b08b74a16bb48c0a1.jpg?s=cHc1-Fym7R-y https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_97c60bb35f45a6d9d990529015059017.jpg?s=JHQ5Q1v1qT6o https://fdcdn.akamaized.net/m/780x1132/products/26957/26956665/images/res_58b100c5bee06e01b5172f4ca5b05947.jpg?s=eTPunUn0kjGC,levendulakék,20SWTK57-5045,Leírás Szín: levendulakék$ fehér Minta: logós$ mintás Anyag: pamut Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Ujjka: visszahajtott szegélyekkel Ujjak hossza: rövid Összetétel Anyag: 100% pamut Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 20SWTK57-5045
women,top,top,női,póló,póló,2751541,https://www.fashiondays.hu/v/2751541/n%C5%91i-/ruh%C3%A1zat?productSlug=own-fut%C3%B3p%C3%B3l%C3%B3-n%C5%91i-adidas-performance&tagId=1,https://www.fashiondays.hu/p/own-fut%C3%B3p%C3%B3l%C3%B3-n%C5%91i-adidas-performance-p2751541-1/,Own futópóló,8899,25.81,adidas Performance,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_c3f227e12c028621798f12dac174028b.jpg?s=y-V0ucTfmkG6 https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_7fc3777edde7b380d3320f879f411101.jpg?s=4T6x2stcDc1W https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_214c01895a2c166b3304a4adbc813deb.jpg?s=l32QToaAxq5S https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_e9ddb0ea961725d036b53432fb3ed205.jpg?s=U35Y2Kxxwp4o https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_90d4b6285868f3bedc09a4c6cbde5d00.jpg?s=rziH55O04CsR https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_f84dcb599bd4c48b0f82a67e18338bc4.jpg?s=UP-S2zkP0BDx https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_98d5b4d760b9689c964fb7bd456725ec.jpg?s=Q2rnWfEuyuGu https://fdcdn.akamaized.net/m/780x1132/products/30427/30426941/images/res_05c7caee8ab8c6bf0b21e7f9c183eb47.jpg?s=8R2a1bMjiQcq,lila,FN5871,Leírás Nem: női Sport: futás Szín: lila Minta: nincs Nyakkivágás: kerek Fazon: normál Anyag: szintetikus szálak Anyagtechnológia: nedvszívó Szezon: tavasz-nyár$ ősz-tél Részletek: fényvisszaverő részletek Összetétel Anyag: 51% poliészter$ 49% újrahasznosított poliészter Termékszám FN5871
women,top,top,női,póló,póló,2763175,https://www.fashiondays.hu/v/2763175/n%C5%91i-/ruh%C3%A1zat?productSlug=pamutp%C3%B3l%C3%B3-kiv%C3%A1g%C3%A1sokkal-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/pamutp%C3%B3l%C3%B3-kiv%C3%A1g%C3%A1sokkal-n%C5%91i-edc-by-esprit-p2763175-1/,Pamutpóló kivágásokkal,9399,27.26,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589959/images/res_8fe0a48171d67d1b4ad82e0baaae8666.jpg?s=mQxljQPuChVA https://fdcdn.akamaized.net/m/780x1132/products/30590/30589959/images/res_751714af46c806abb4b72c884dab97b5.jpg?s=B3UAVzznRTgf https://fdcdn.akamaized.net/m/780x1132/products/30590/30589959/images/res_949b924501b8f123b0a95aa24dd3677c.jpg?s=fHkH48bS0yir https://fdcdn.akamaized.net/m/780x1132/products/30590/30589959/images/res_a8ef22992d34b491281b8c6722f9120c.jpg?s=pgOBkpvA3lzQ,sötétszürke,040CC1K349-350,Leírás Szín: sötétszürke Minta: nincs Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Részletek: kivágások Összetétel Anyag: 100% pamut Termékszám 040CC1K349-350
women,top,top,női,póló,póló,2761480,https://www.fashiondays.hu/v/2761480/n%C5%91i-/ruh%C3%A1zat?productSlug=drycell-mod%C3%A1ltartalm%C3%BA-top-log%C3%B3val-n%C5%91i-puma&tagId=1,https://www.fashiondays.hu/p/drycell-mod%C3%A1ltartalm%C3%BA-top-log%C3%B3val-n%C5%91i-puma-p2761480-1/,dryCELL modáltartalmú top logóval,5399,15.66,Puma,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_4de86a6651d0399f797328db7bd0ce23.jpg?s=DNoPFPgqQKOD https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_516f16c6b002294df3f3ef9ccbb71e90.jpg?s=st2Y5-siaDMN https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_d55373e3b54afe35870ea1b2fa563c8b.jpg?s=gsQ4JaWAyALm https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_f41b266ba6fe50202a869542fe2bcb9e.jpg?s=pQmNyeKGqyid https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_b1d66cbc53fb33db34cba9c222f9a748.jpg?s=UqL7URNyHfrk https://fdcdn.akamaized.net/m/780x1132/products/27997/27996821/images/res_db290bad4a9dfdf861527b7ea3f2bdf3.jpg?s=DmcmkzHKzyRm,fehér,581230-02,Leírás Szín: fehér$ rózsaszín Minta: logós Anyag: pamut$ modál Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Részlet: nedvességet elvezető anyag Technológia: dryCELL Összetétel Anyag: 60% pamut$ 40% modál Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 581230-02
women,top,top,női,póló,póló,2763546,https://www.fashiondays.hu/v/2763546/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-p%C3%B3l%C3%B3-vir%C3%A1gmint%C3%A1val-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-p%C3%B3l%C3%B3-vir%C3%A1gmint%C3%A1val-n%C5%91i-edc-by-esprit-p2763546-1/,Organikuspamut póló virágmintával,5599,16.24,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589985/images/res_6b1b806c5d6104d9fbb27f1d35ad6b47.jpg?s=rRJXUZY74J5W https://fdcdn.akamaized.net/m/780x1132/products/30590/30589985/images/res_0e92afbfac6b34b24d4a51910d6c2a76.jpg?s=jHu8pmXVUJ9V https://fdcdn.akamaized.net/m/780x1132/products/30590/30589985/images/res_cf15056344a8d59dff68d95b316689ce.jpg?s=RjbdUbw74cU- https://fdcdn.akamaized.net/m/780x1132/products/30590/30589985/images/res_a041af93fbe69122049984468647f6c3.jpg?s=Zc4Vz3mfiaWM,zöld,050CC1K354-003,Leírás Szín: fehér$ fekete$ zöld Minta: virágminta Anyag: organikus pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K354-003
women,top,top,női,póló,póló,2763521,https://www.fashiondays.hu/v/2763521/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-tartalm%C3%BA-top-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-tartalm%C3%BA-top-n%C5%91i-edc-by-esprit-p2763521-1/,Organikuspamut tartalmú top,4399,12.76,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589741/images/res_0a13d85ebdfef91259a70338d13f0741.jpg?s=ZBh0PiJNBPrB https://fdcdn.akamaized.net/m/780x1132/products/30590/30589741/images/res_c4158881dba3e46f6a80e8efe8f530e4.jpg?s=kCXnLhDGoLyC https://fdcdn.akamaized.net/m/780x1132/products/30590/30589741/images/res_0d0788ad3739d06252cf5dfed74c7410.jpg?s=rBs2SzAXmG23 https://fdcdn.akamaized.net/m/780x1132/products/30590/30589741/images/res_38e2450f0f49dc5beddccb17bb4ad683.jpg?s=b75NqnWYT0SI,fehér,050CC1K307-001,Leírás Szín: fekete$ fehér Minta: csíkos Anyag: organikus pamut Szabás: szűk Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Részletek: bordázott hatás Összetétel Anyag: 95% organikus pamut$ 5% elasztán Termékszám 050CC1K307-001
women,top,top,női,póló,póló,2763491,https://www.fashiondays.hu/v/2763491/n%C5%91i-/ruh%C3%A1zat?productSlug=cs%C3%ADkos-organikuspamut-p%C3%B3l%C3%B3-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/cs%C3%ADkos-organikuspamut-p%C3%B3l%C3%B3-n%C5%91i-edc-by-esprit-p2763491-1/,Csíkos organikuspamut póló,5599,16.24,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589776/images/res_261851df00ddc54ff567f0f85ab48581.jpg?s=VHFmt0BVV7R8 https://fdcdn.akamaized.net/m/780x1132/products/30590/30589776/images/res_aba0d32c2580c3ea008e85a2d9650d3b.jpg?s=GcrPVQygzGnB https://fdcdn.akamaized.net/m/780x1132/products/30590/30589776/images/res_37af8bfcea55e2c83a9876d2a5d76dd3.jpg?s=1T69gPXAQcE8 https://fdcdn.akamaized.net/m/780x1132/products/30590/30589776/images/res_8cc88a37df52a4d772e747212956cfc2.jpg?s=-sH-RPpdXbET,rózsaszín,050CC1K320-670,Leírás Szín: rózsaszín Minta: csíkos Anyag: organikus pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K320-670
women,top,top,női,póló,póló,2763464,https://www.fashiondays.hu/v/2763464/n%C5%91i-/ruh%C3%A1zat?productSlug=mint%C3%A1s-organikuspamut-p%C3%B3l%C3%B3-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/mint%C3%A1s-organikuspamut-p%C3%B3l%C3%B3-n%C5%91i-edc-by-esprit-p2763464-1/,Mintás organikuspamut póló,3599,10.44,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589910/images/res_688594a9a11eaaa987119668aa1d543f.jpg?s=PLjV2hiwrk2U https://fdcdn.akamaized.net/m/780x1132/products/30590/30589910/images/res_9bd47c9cf68639a7535c8b5f6821c80f.jpg?s=-mwzUzE9_M1f https://fdcdn.akamaized.net/m/780x1132/products/30590/30589910/images/res_b298386f55b8d8bcaf41eafcc8692bbd.jpg?s=JexbLkDIeEyu https://fdcdn.akamaized.net/m/780x1132/products/30590/30589910/images/res_ab3287e7297fa21c22363f5cc68d0855.jpg?s=g4SSJ9YaOCTU,zöld,050CC1K319-760,Leírás Szín: zöld$ kék$ halványsárga Minta: van Anyag: organikus pamut Fazon: normál Stílus: hétköznapi Gallér: kissé megemelt Ujjak hossza: rövid Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K319-760
women,top,top,női,póló,póló,2763485,https://www.fashiondays.hu/v/2763485/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit-p2763485-1/,Organikuspamut top foltzsebbel,4399,12.76,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589781/images/res_6a85611f8cd9c02b98e69bf61406f827.jpg?s=Mk-Ab116HD4m https://fdcdn.akamaized.net/m/780x1132/products/30590/30589781/images/res_ba00ee0ad7c381d4de5bd6be32900dc5.jpg?s=xyzz_ybeO2cT https://fdcdn.akamaized.net/m/780x1132/products/30590/30589781/images/res_76759ee13a8146a6c887705f22395c81.jpg?s=QR20wkrBtWMp https://fdcdn.akamaized.net/m/780x1132/products/30590/30589781/images/res_063ef7666128d1b0abee0d9945e40fa0.jpg?s=sSlEGDVx2Yyh,fehér,050CC1K330-100,Leírás Szín: fehér Minta: nincs Anyag: organikus pamut Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Pántok: sportos hátrész Ujjak hossza: ujjatlan Részletek: dekoratív foltzseb Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K330-100
women,top,top,női,póló,póló,2763471,https://www.fashiondays.hu/v/2763471/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit-p2763471-1/,Organikuspamut top foltzsebbel,4399,12.76,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589786/images/res_74e897ad4620d3aea5c6aa7fa848d107.jpg?s=agDU4gWkfQuI https://fdcdn.akamaized.net/m/780x1132/products/30590/30589786/images/res_4bfecf0691fafc4459cd5ca3490203fe.jpg?s=8gfns9RpmSn3 https://fdcdn.akamaized.net/m/780x1132/products/30590/30589786/images/res_035d3e66150e6560a7803221d2db7eeb.jpg?s=hfg-aB9gFDRS https://fdcdn.akamaized.net/m/780x1132/products/30590/30589786/images/res_14d06a58166b1e6ac740bfa5e7163182.jpg?s=vfFGhqAmGeIW,zöld,050CC1K330-310,Leírás Szín: zöld Minta: nincs Anyag: organikus pamut Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Pántok: sportos hátrész Ujjak hossza: ujjatlan Részletek: kontrasztos varrás$ dekoratív foltzseb Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K330-310
women,top,top,női,póló,póló,2763441,https://www.fashiondays.hu/v/2763441/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-top-foltzsebbel-n%C5%91i-edc-by-esprit-p2763441-1/,Organikuspamut top foltzsebbel,4399,12.76,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589791/images/res_4943f5573ce877cd8a4acb2bfe2f424d.jpg?s=RgQ8DB2ENI2w https://fdcdn.akamaized.net/m/780x1132/products/30590/30589791/images/res_7323fe0420907842e9eb652d1323c788.jpg?s=0Pmp_vjJoXq7 https://fdcdn.akamaized.net/m/780x1132/products/30590/30589791/images/res_b188ed2c169612313a3f50ae08f34a12.jpg?s=hGKpmN4LWK6W https://fdcdn.akamaized.net/m/780x1132/products/30590/30589791/images/res_ee6f243e340c19076e0f1b0cde559cb4.jpg?s=4E_LH7ood9aa,sötétkék,050CC1K330-400,Leírás Szín: sötétkék Minta: nincs Anyag: organikus pamut Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Pántok: sportos hátrész Ujjak hossza: ujjatlan Részletek: kontrasztos varrás$ dekoratív foltzseb Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K330-400
women,top,top,női,póló,póló,2763386,https://www.fashiondays.hu/v/2763386/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-p%C3%B3l%C3%B3-ejtett-ujjakkal-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-p%C3%B3l%C3%B3-ejtett-ujjakkal-n%C5%91i-edc-by-esprit-p2763386-1/,Organikuspamut póló ejtett ujjakkal,5599,16.24,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589727/images/res_87bbeeb0c709323e7e82f2c0d34d6bca.jpg?s=pQGf04UQqxdJ https://fdcdn.akamaized.net/m/780x1132/products/30590/30589727/images/res_67299c1912e3c00cbe01c80795ebd667.jpg?s=aKN6bPmWWOEK https://fdcdn.akamaized.net/m/780x1132/products/30590/30589727/images/res_cc71287770cee40bc328a54a2531a9a7.jpg?s=HLqh0ii2B9h3,fekete,050CC1K305-001,Leírás Szín: fekete Minta: nincs Anyag: pamut Fazon: laza Stílus: hétköznapi Nyakkivágás: kerek Ujjak típusa: ejtett ujjak Ujjak hossza: rövid Összetétel Anyag: 100% organikus pamut Termékszám 050CC1K305-001
women,top,top,női,póló,póló,2763404,https://www.fashiondays.hu/v/2763404/n%C5%91i-/ruh%C3%A1zat?productSlug=organikuspamut-tartalm%C3%BA-top-n%C5%91i-edc-by-esprit&tagId=1,https://www.fashiondays.hu/p/organikuspamut-tartalm%C3%BA-top-n%C5%91i-edc-by-esprit-p2763404-1/,Organikuspamut tartalmú top,4399,12.76,EDC by Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30590/30589887/images/res_9718c11c17854b0e3555740acb37a0fd.jpg?s=WMHvs5nEpb_i https://fdcdn.akamaized.net/m/780x1132/products/30590/30589887/images/res_151eb9b785032da3011868622d58ca97.jpg?s=7qpcyXW2r6XA https://fdcdn.akamaized.net/m/780x1132/products/30590/30589887/images/res_10838b081a98150dffc756e22ee39603.jpg?s=TwWDskXcLn9d https://fdcdn.akamaized.net/m/780x1132/products/30590/30589887/images/res_1ec328f118e282dd5741c7ce0d7fdedd.jpg?s=VjM4kkADh94N,fehér,050CC1K307-760,Leírás Szín: pisztáciazöld$ fehér Minta: csíkos Anyag: organikus pamut Szabás: testre simuló Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Részletek: bordázott dizájn Összetétel Anyag: 95% organikus pamut$ 5% elasztán Termékszám 050CC1K307-760
