genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,dress,dress,női,ruha,ruha,2765459,https://www.fashiondays.hu/v/2765459/n%C5%91i-/ruh%C3%A1zat?productSlug=b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-lentartalm%C3%BA-midiszoknya-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-lentartalm%C3%BA-midiszoknya-n%C5%91i-gap-p2765459-1/,Bővülő fazonú lentartalmú midiszoknya,17099,49.59,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30542/30541333/images/res_3c1a7fa9eb4e3f05281da126620c1ace.jpg?s=Q9roclDUedTg https://fdcdn.akamaized.net/m/780x1132/products/30542/30541333/images/res_8d30524977c0a94ff7f01daa88ce301e.jpg?s=Mi50q-RHMqM6 https://fdcdn.akamaized.net/m/780x1132/products/30542/30541333/images/res_71f754c19e5da13e34ace281ea25ab81.jpg?s=leXZOvf7NPdY https://fdcdn.akamaized.net/m/780x1132/products/30542/30541333/images/res_84be7c500c1bc68b009f1397f079a56f.jpg?s=1noKl6hBbGzm,fehér,000583123-300,Leírás Szín: fehér Stílus: hétköznapi Anyag: viszkóz$ lenvászon Minta: nincs Szabás: bővülő Hossza: midi Nyakkivágás: V-alakú Ujjak hossza: rövid Részletek: húzott részlet a hátoldalán Összetétel Anyag: 55% len$ 45% viszkóz Termékszám 000583123-300
women,dress,dress,női,ruha,ruha,2765466,https://www.fashiondays.hu/v/2765466/n%C5%91i-/ruh%C3%A1zat?productSlug=cami-vir%C3%A1gmint%C3%A1s-lentartalm%C3%BA-ruha-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/cami-vir%C3%A1gmint%C3%A1s-lentartalm%C3%BA-ruha-n%C5%91i-gap-p2765466-1/,Cami virágmintás lentartalmú ruha,13999,40.6,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30542/30541405/images/res_104eae5ea433ffffee1de2345e4ae1a6.jpg?s=Yv4THHvL3LNE https://fdcdn.akamaized.net/m/780x1132/products/30542/30541405/images/res_0e7e7018fc77d570006301bb0852cf31.jpg?s=VzEub4fWNcHL https://fdcdn.akamaized.net/m/780x1132/products/30542/30541405/images/res_ea790dd6c52bab82762a9985b3ae3c6b.jpg?s=wJ7fTyc-mpjk https://fdcdn.akamaized.net/m/780x1132/products/30542/30541407/images/res_dcabc12e5c4e7562b1294b850312480c.jpg?s=D5TYdkf1Eewe,fehér,000583031-238,Leírás Szín: zöld$ narancssárga$ piros Stílus: hétköznapi Anyag: pamut$ lenvászon Minta: virágminta Szabás: bővülő Hossza: midi Pánt: állítható spagettipántok Ujjak hossza: ujjatlan Részletek: kivágás a hátoldalán$ megkötő a derékrészen Összetétel Anyag: 55% len$ 45% pamut Termékszám 000583031-238
women,dress,dress,női,ruha,ruha,2767050,https://www.fashiondays.hu/v/2767050/n%C5%91i-/ruh%C3%A1zat?productSlug=favorite-laza-fazon%C3%BA-p%C3%B3l%C3%B3ruha-n%C5%91i-under-armour&tagId=1,https://www.fashiondays.hu/p/favorite-laza-fazon%C3%BA-p%C3%B3l%C3%B3ruha-n%C5%91i-under-armour-p2767050-1/,Favorite laza fazonú pólóruha,9099,26.39,Under Armour,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_6c595d683f9848d66aaf30b0d4f36938.jpg?s=DaO0cSO6sDMA https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_a53643e62dd07fe9edb224b3791d84bf.jpg?s=ta3h_JXWPckH https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_8f7d4eced463f398f9d6c728cf676732.jpg?s=VqjekYCfOuJ9 https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_ced866b8ae50d9b6e4259e0909c825b7.jpg?s=u5jSnBj0_9xt https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_31aa9a52794f57041bcd519624773514.jpg?s=l59ctCQsTOh6 https://fdcdn.akamaized.net/m/780x1132/products/30582/30581522/images/res_4727f73b1cdcadc62134de9dd4dd727e.jpg?s=n-xEaW_ssAqT,fekete,1277212-001,Leírás Szín: fekete Stílus: hétköznapi Anyag: szintetikus szálak$ pamut Minta: nincs Fazon: laza Hossza: mini Nyakkivágás: kerek Ujjak: raglánujjak Ujjak hossza: rövid Technológia: Moisture Transport System Összetétel Anyag: 80% pamut$ 20% poliészter Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 1277212-001
women,dress,dress,női,ruha,ruha,2756544,https://www.fashiondays.hu/v/2756544/n%C5%91i-/ruh%C3%A1zat?productSlug=b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-maxiruha-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-maxiruha-n%C5%91i-banana-republic-p2756544-1/,Bővülő fazonú maxiruha,30799,89.32,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_41442ea98da6b77b7e97401e4f5fba79.jpg?s=BqczuwNDolJz https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_c1b3f2554690314fbffc9699afb31f04.jpg?s=I-wUYa_w9Db4 https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_52b86ecee39e0d48123370805fc4acd8.jpg?s=FBpiqb88e5il https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_1359f76e3a82c6ba00db2cf28e868f42.jpg?s=WZvcPKp-NRMb https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_370328fbe13876fe2817774dd6d285c8.jpg?s=zEeL3BJhZL2a https://fdcdn.akamaized.net/m/780x1132/products/30424/30423761/images/res_e1f4d386bec99be9aa69b6fd51b93d4f.jpg?s=bhvnKkr0n_z_,olajkék,000589429-830,Leírás Szín: olajkék Stílus: hétköznapi Anyag: szintetikus szálak Minta: nincs Szabás: bővülő Hossz: maxi Gallér: klasszikus Ujjak hossza: középhosszú Részletek: megkötő a derékrészen Rögzítés: gombos Összetétel Anyag: 100% poliészter Modellinformáció A modell 4 (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000589429-830
women,dress,dress,női,ruha,ruha,2742739,https://www.fashiondays.hu/v/2742739/n%C5%91i-/ruh%C3%A1zat?productSlug=%C3%81tlapol%C3%B3s-midiruha-r%C3%B6vid-ujjakkal-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/%C3%81tlapol%C3%B3s-midiruha-r%C3%B6vid-ujjakkal-n%C5%91i-gap-p2742739-1/,Átlapolós midiruha rövid ujjakkal,14799,42.92,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260793/images/res_1c4ba30383ef990b55de34be6a359c8c.jpg?s=zlsNzmQ0-3dG https://fdcdn.akamaized.net/m/780x1132/products/30261/30260793/images/res_ba287d663bcb577ece50f800e52d2898.jpg?s=yUpiJoeu675N https://fdcdn.akamaized.net/m/780x1132/products/30261/30260793/images/res_7880c88e58a9493276dc3db3416b3d16.jpg?s=Bg4Evll95V3m https://fdcdn.akamaized.net/m/780x1132/products/30261/30260793/images/res_280ac5f6b7ad62e5f2b07c80abbdc9a5.jpg?s=OKLyEA4jefJ9 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260793/images/res_668d0c2e5ea9dbaece6cd4698ec503d9.jpg?s=LtHEBJdflafX,sáfránysárga,000583070-154,Leírás Szín: sáfránysárga$ fehér Stílus: hétköznapi$ irodai Anyag: viszkóz Minta: pöttyös Részletek: átlapolós Hossza: midi Nyakkivágás: átlapolós V-kivágás Ujjak hossza: rövid Részletek: megkötővel rögzíthető Rögzítés: gombos Összetétel Anyag: 100% viszkóz Modellinformáció A modell S/4-es méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000583070-154
women,dress,dress,női,ruha,ruha,2758027,https://www.fashiondays.hu/v/2758027/n%C5%91i-/ruh%C3%A1zat?productSlug=lyocell-ruha-oldalhas%C3%ADt%C3%A9kokkal-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/lyocell-ruha-oldalhas%C3%ADt%C3%A9kokkal-n%C5%91i-tommy-hilfiger-p2758027-1/,Lyocell ruha oldalhasítékokkal,46899,136.01,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_0462e33617448005118310d25401c277.jpg?s=Z4d-m86xtdjD https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_b8e383337ba5a777041cd2935562cb4b.jpg?s=47CWYKE4htwT https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_9fb1781e924a3005b583fe4e6eb5097d.jpg?s=mvTkz4IJmwku https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_1171fe08742ac81b1996c9bbf1bdf363.jpg?s=y0K_rT7R81Ll https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_f16a98fbfbe4004700f4dbbd5e069db7.jpg?s=tES6QsEjxwmX https://fdcdn.akamaized.net/m/780x1132/products/30185/30184915/images/res_a81684e4d913b7ef6f08d7f423a9e569.jpg?s=fG1I3UPlAZ_a,zöld,WW0WW21774-287,Leírás Szín: zöld Stílus: hétköznapi Anyag: lyocell Minta: nincs Szabás: testre simuló Hossza: midi Nyakkivágás: V-alakú Ujjak hossza: ujjatlan Rögzítés: cipzáros Összetétel Anyag: 100% lyocell$ Modellinformáció A modell S (=4) méretű terméket visel$ EU méretezés szerint. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám WW0WW21774-287
women,dress,dress,női,ruha,ruha,2761176,https://www.fashiondays.hu/v/2761176/n%C5%91i-/ruh%C3%A1zat?productSlug=cleveland-cs%C3%B3naknyak%C3%BA-vir%C3%A1gos-ruha-n%C5%91i-desigual&tagId=1,https://www.fashiondays.hu/p/cleveland-cs%C3%B3naknyak%C3%BA-vir%C3%A1gos-ruha-n%C5%91i-desigual-p2761176-1/,Cleveland csónaknyakú virágos ruha,24999,72.5,DESIGUAL,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_1736141fb7d13b529a27e9e7a9fe749e.jpg?s=uFoXphTsHynB https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_a7aa9c0bdcf6f1853ba8468e143b10f9.jpg?s=9tNxJ-rVYmZs https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_2fde4ca7fd386ae267eb4b6f14b7a9a0.jpg?s=f00IE4lzPVjF https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_a257976de174e36ba4daee0ea5a92f56.jpg?s=cnRaCDPvHygF https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_ecf40f180986dceca12e5207c4298b16.jpg?s=2IJ6_bdXQWau https://fdcdn.akamaized.net/m/780x1132/products/26957/26956544/images/res_1b33b1169408254cc9b9e2d51a339995.jpg?s=nVAuf6klagLl,fekete,20SWVK70-9019,Leírás Szín: színes Stílus: hétköznapi Anyag: pamut$ szintetikus szálak Minta: virágminta Szabás: bővülő Hossza: mini Nyakkivágás: csónaknyak Ujjak hossza: rövid Összetétel Anyag: 93% poliészter$ 7% elasztán Bélés: 95% viszkóz$ 5% elasztán Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 20SWVK70-9019
women,dress,dress,női,ruha,ruha,2761202,https://www.fashiondays.hu/v/2761202/n%C5%91i-/ruh%C3%A1zat?productSlug=kate-lyocell-anyag%C3%BA-ruha-%C3%B6vvel-n%C5%91i-desigual&tagId=1,https://www.fashiondays.hu/p/kate-lyocell-anyag%C3%BA-ruha-%C3%B6vvel-n%C5%91i-desigual-p2761202-1/,Kate lyocell anyagú ruha övvel,29899,86.71,DESIGUAL,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_62cba2878abb328c9fb48eb7f3847e7f.jpg?s=frHh6BrBIy63 https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_074037dd210b99499c753ffb62e9b5e0.jpg?s=HE8U-Jpj5nT2 https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_6da240ec2b7e54372add99496a38efed.jpg?s=b1nwJVWNWRIQ https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_42188849886c009dddd0073fde226396.jpg?s=h_4TkdIJH5Qh https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_9e41bd95cbfd13848e98b1b6753ce60e.jpg?s=CAjTjGYEQ9xP https://fdcdn.akamaized.net/m/780x1132/products/26957/26956561/images/res_40c946217ab52550691d20cdcb8bf41d.jpg?s=WP0JqPkM9Hkq,barna,20SWVN01-6007,Leírás Szín: színes Stílus: hétköznapi Anyag: lyocell Minta: virágminta Szabás: bővülő Hossza: midi Gallér: klasszikus Ujjak hossza: rövid Részletek: öv Rögzítés: gombos Összetétel Anyag: 100% lyocell Modellinformáció A modell 38 (=S) méretű terméket visel$ európai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 20SWVN01-6007
women,dress,dress,női,ruha,ruha,2761136,https://www.fashiondays.hu/v/2761136/n%C5%91i-/ruh%C3%A1zat?productSlug=dallas-vir%C3%A1gmint%C3%A1s-miniruha-n%C5%91i-desigual&tagId=1,https://www.fashiondays.hu/p/dallas-vir%C3%A1gmint%C3%A1s-miniruha-n%C5%91i-desigual-p2761136-1/,Dallas virágmintás miniruha,17599,51.04,DESIGUAL,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_a6a5cbe750954916c22be60e3a794746.jpg?s=I2VO-fmwrylZ https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_02d20b026cb87be620c21c6a0e6cb4e5.jpg?s=o2sim2goycl6 https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_5d4dc1d8dba05ae257b3ac6b820aae6b.jpg?s=IYZeQmlq8-Rz https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_d0f51d736610766762b5e0e96732a1eb.jpg?s=qDqQhxVrdOZF https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_9b9bd7e59409ea6aa577bd1585e5cdc2.jpg?s=UtmgM6oTwy3i https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_4e106da3d08e796fa2b8576186bb3881.jpg?s=0QOE8CmNvdi9 https://fdcdn.akamaized.net/m/780x1132/products/26957/26956523/images/res_fa7aa35772efaf0bfc850b5f835279ce.jpg?s=OAysenDPCADu,fekete,20SWVK31-2000,Leírás Szín: fekete Stílus: hétköznapi Anyag: viszkóz Minta: virágminta Szabás: A-vonalú Hossza: mini Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 95% viszkóz$ 5% elasztán Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 20SWVK31-2000
women,dress,dress,női,ruha,ruha,2745652,https://www.fashiondays.hu/v/2745652/n%C5%91i-/ruh%C3%A1zat?productSlug=cs%C3%ADkos-ruha-keresztezett-p%C3%A1ntokkal-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/cs%C3%ADkos-ruha-keresztezett-p%C3%A1ntokkal-n%C5%91i-banana-republic-p2745652-1/,Csíkos ruha keresztezett pántokkal,17999,52.2,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30265/30264387/images/res_aa5d29ee1e57567d3de9b0c1b7e14d76.jpg?s=b0ZJYSfGBgep https://fdcdn.akamaized.net/m/780x1132/products/30265/30264387/images/res_83ca1151d466c9d6956c777cc5233570.jpg?s=1_PF-4mZOyjN https://fdcdn.akamaized.net/m/780x1132/products/30265/30264387/images/res_074ee5b558fc743b840eb03f6583797f.jpg?s=NiDch4dV6j2P https://fdcdn.akamaized.net/m/780x1132/products/30265/30264387/images/res_cb8e19a278faffe0ed60d9141b2b7ecf.jpg?s=X3uZcc5qMyLa https://fdcdn.akamaized.net/m/780x1132/products/30265/30264387/images/res_301d89debd8ebcf23619bcdecab3d51e.jpg?s=HeoGOx_HFDvw,fehér,000586097-300,Leírás Szín: fehér$ tengerészkék$ zöld Stílus: hétköznapi Anyag: szintetikus szálak$ pamut Minta: csíkos Szabás: bővülő Hossza: midi Nyakkivágás: keresztezett pántos dizájn Ujjak hossza: ujjatlan Részletek: megkötő a derékrészen Összetétel Anyag: 63% pamut$ 34% poliészter$ 3% elasztán Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000586097-300
women,dress,dress,női,ruha,ruha,2742858,https://www.fashiondays.hu/v/2742858/n%C5%91i-/ruh%C3%A1zat?productSlug=aszimmetrikus-als%C3%B3-szeg%C3%A9ly%C5%B1-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/aszimmetrikus-als%C3%B3-szeg%C3%A9ly%C5%B1-n%C5%91i-banana-republic-p2742858-1/,Aszimmetrikus alsó szegélyű,24199,70.18,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261818/images/res_a5631ae6eb9e75d752a5e5fa85d68647.jpg?s=hCKLSIe0lGQl https://fdcdn.akamaized.net/m/780x1132/products/30262/30261818/images/res_f2cc97f836c59d4f438bf4949960d4e6.jpg?s=lzK82wHDFhfo https://fdcdn.akamaized.net/m/780x1132/products/30262/30261818/images/res_fbef56225d0a7bf36326c52e99e46b71.jpg?s=SxWE9XgZ0kkI https://fdcdn.akamaized.net/m/780x1132/products/30262/30261818/images/res_88fc8eccec742a3e29feca1821676438.jpg?s=73hnKeF8BAR_ https://fdcdn.akamaized.net/m/780x1132/products/30262/30261818/images/res_a5e35db0a3a2795cc4d66af7d2ba8b61.jpg?s=SQU6Vw_EYS8a,sötétpiros,000585950-682,Leírás Szín: sötétpiros Stílus: hétköznapi$ elegáns Anyag: szintetikus szálak Minta: nincs Szabás: aszimmetrikus Hossza: midi Nyakkivágás: V alakú Ujjak hossza: ujjatlan Részletek: fodros részletek Összetétel Anyag: 100% poliészter Bélés: 100% poliészter Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000585950-682
women,dress,dress,női,ruha,ruha,2744181,https://www.fashiondays.hu/v/2744181/n%C5%91i-/ruh%C3%A1zat?productSlug=%C3%81tlapol%C3%B3s-midiruha-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/%C3%81tlapol%C3%B3s-midiruha-n%C5%91i-banana-republic-p2744181-1/,Átlapolós midiruha,22799,66.12,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_05a096b0b20de6f22b85aa64cef058cf.jpg?s=gv9f0PNKxFnf https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_9e607ceacbfbbdbed69e41314bc83a3b.jpg?s=3HiUZlkMWt1u https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_cecfc5e8ab37393149c0c62314f253e2.jpg?s=sysmS7tcCcEA https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_57985fd7997baafe9d413f3ebba779bf.jpg?s=Hv_5jK-YP_-6 https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_4b6e690426370eb91d5a2c953ef44536.jpg?s=ZZ6KxHnXd4ZS https://fdcdn.akamaized.net/m/780x1132/products/30262/30261790/images/res_7c353a061273098e94fb7840184a1820.jpg?s=HyjVIFjE2tPj,fekete,000585960-247,Leírás Szín: fekete Stílus: hétköznapi Anyag: pamut$ lenvászon Minta: nincs Részletek: átlapolós Hossza: midi Nyakkivágás: átlapolós V-kivágás Ujjak hossza: ujjatlan Részletek: megkötő a derékrészen Összetétel Anyag: 55% len$ 45% pamut Bélés: 100% pamut Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000585960-247
women,dress,dress,női,ruha,ruha,2742885,https://www.fashiondays.hu/v/2742885/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-ruha-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-ruha-n%C5%91i-banana-republic-p2742885-1/,Virágmintás bővülő ruha,18399,53.36,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_b2fa83150f7bf5be1840140fd91d0681.jpg?s=0ACcskdusDJH https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_2be0ae9b037c8b4ae023ff333eb83eb1.jpg?s=dugZHX3xYiW9 https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_9c7ae29f346970fbb16b4a29dce2a4b1.jpg?s=06MU1pxeKQKK https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_cf8aa0f67d5b7cc497c09f8ddac4b042.jpg?s=YZx4YjXT9iCE https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_ca9c32a6fdd6c0777469c9e3b287a982.jpg?s=E5zrEXQVtybe https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_301430dab2aab68f8d474e27bcdf766f.jpg?s=takRnmcXlNFs https://fdcdn.akamaized.net/m/780x1132/products/30262/30261687/images/res_7238bf7df5ef5cd53ecdc2d4311cffd6.jpg?s=VRsTRo3mPjKF,fekete,000585996-010,Leírás Szín: fekete$ katonai zöld$ korallszín Stílus: hétköznapi Anyag: viszkóz Minta: virágminta Szabás: bővülő Hossza: midi Nyakkivágás: V alakú Pántok: spagetti Ujjak hossza: ujjatlan Részletek: keresztpántok Összetétel Anyag: 100% viszkóz Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000585996-010
women,dress,dress,női,ruha,ruha,2762995,https://www.fashiondays.hu/v/2762995/n%C5%91i-/ruh%C3%A1zat?productSlug=a-vonal%C3%BA-ruha-v-alak%C3%BA-nyakr%C3%A9sszel-n%C5%91i-only&tagId=1,https://www.fashiondays.hu/p/a-vonal%C3%BA-ruha-v-alak%C3%BA-nyakr%C3%A9sszel-n%C5%91i-only-p2762995-1/,A-vonalú ruha V alakú nyakrésszel,8899,25.81,Only,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30580/30579554/images/res_2ca68f353fd68fff5302ed952a493866.jpg?s=l0Xs9qis7oIf https://fdcdn.akamaized.net/m/780x1132/products/30580/30579554/images/res_4f692b0d9f58d783a1605f4c8801e121.jpg?s=Q6kH8NuYRBTv https://fdcdn.akamaized.net/m/780x1132/products/30580/30579554/images/res_ba9312c5034d53fb95786d4b2f5b7165.jpg?s=V-bsJhqke0fw https://fdcdn.akamaized.net/m/780x1132/products/30580/30579554/images/res_b17cfab8a3ae52008ffa66bfe3a2fc7b.jpg?s=idWeBxHFJgcp https://fdcdn.akamaized.net/m/780x1132/products/30580/30579554/images/res_97e3d9a850244a8ce37e2314e1f16012.jpg?s=GU6JqvkXvd0S,fekete,15202197-BLACK,Leírás Szín: fekete Stílus: hétköznapi Anyag: viszkóz$ szintetikus szálak Minta: nincs Szabás: A-vonalú Hossza: midi Nyakkivágás: V alakú Ujjak hossza: rövid Részletek: bordázott hatás$ gombos az elején Összetétel Anyag: 65% poliészter$ 30% viszkóz$ 5% elasztán Termékszám 15202197-BLACK
women,dress,dress,női,ruha,ruha,2742661,https://www.fashiondays.hu/v/2742661/n%C5%91i-/ruh%C3%A1zat?productSlug=%C3%81tlapol%C3%B3s-midiruha-r%C3%B6vid-ujjakkal-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/%C3%81tlapol%C3%B3s-midiruha-r%C3%B6vid-ujjakkal-n%C5%91i-gap-p2742661-1/,Átlapolós midiruha rövid ujjakkal,14799,42.92,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_e830e0e6fd0df0e3e487e6cd469f7247.jpg?s=XP8eJx2b4NX7 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_ec84a32a57ab03ca48e7e2005192b2be.jpg?s=uklpzJhvDYy_ https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_37b0007b0d59e237fc325e0b6a485631.jpg?s=hB37bOGh7A1B https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_b530c9d920b11525457edd93513b054a.jpg?s=RRLh0SCc-Elq https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_b5a9fc4df06c920d75fee80eb558b35e.jpg?s=2tSMsagYzzWn https://fdcdn.akamaized.net/m/780x1132/products/30261/30260785/images/res_b295ab8d693798325dbe6a432c4b7b5c.jpg?s=htuBqYsFyV5J,púderkék,000583070-201,Leírás Szín: púderkék$ fehér Stílus: hétköznapi$ irodai Anyag: viszkóz Minta: virágminta Részletek: átlapolós Hossza: midi Nyakkivágás: átlapolós V-kivágás Ujjak hossza: rövid Részletek: megkötővel rögzíthető Rögzítés: gombos Összetétel Anyag: 100% viszkóz Modellinformáció A modell S/4-es méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000583070-201
